Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Raspberry bavarian cream,,,150.1,3.34,7.88,,2.19,17.82,Indian Dishes,15.3,24.59,26.4,0.31,21.41,20.79
Fruit delight,,,107.09,2.09,7.09,,0.09,9.11,Indian Dishes,9.03,17.27,71.69,0.15,7.74,19.39
Creamy chocolate mousse,,,230.52,6.85,18.16,,0.0,9.53,Indian Dishes,8.99,48.64,45.25,0.96,0.75,33.07
Cold lemon souffle,,,169.87,5.89,9.78,,0.0,15.62,Indian Dishes,13.88,46.35,55.03,0.53,8.65,31.24
Cold orange souffle,,,173.19,5.94,9.82,,0.11,16.27,Indian Dishes,14.42,46.53,55.45,0.57,10.08,33.8
Cold pineapple souffle,,,181.22,6.23,10.39,,0.0,16.85,Indian Dishes,14.99,49.38,57.13,0.54,1.88,30.3
Cold vanilla souffle,,,179.54,6.22,10.32,,0.0,16.29,Indian Dishes,14.49,49.09,62.47,0.52,1.3,30.71
Cold chocolate souffle,,,187.53,6.37,10.86,,0.0,17.22,Indian Dishes,15.31,47.77,62.91,0.68,1.3,32.45
Stewed fruit (with pear),,,74.32,0.25,0.32,,2.84,18.22,Indian Dishes,17.67,1.7,5.94,0.21,2.48,4.33
Apricot fool,,,240.79,1.54,11.35,,1.0,33.64,Indian Dishes,21.29,8.28,26.37,0.73,1.47,11.46
Pavlova,,,200.6,1.84,12.29,,0.06,21.84,Indian Dishes,20.37,26.34,23.0,0.25,23.78,19.18
Apple crumb pudding,,,220.85,1.54,8.87,,1.33,35.17,Indian Dishes,27.69,59.36,38.49,1.05,3.6,7.86
Steamed cake with chocolate sauce,,,301.91,4.49,19.01,,0.29,29.06,Indian Dishes,19.72,100.32,67.76,0.85,1.81,25.81
Hot lemon souffle,,,155.25,5.29,7.93,,0.14,16.31,Indian Dishes,12.07,47.75,48.77,0.55,12.93,20.7
Gulab jamun with milk powder,,,471.15,0.85,40.15,,0.05,28.24,Indian Dishes,27.04,67.28,26.13,0.13,0.41,4.56
Chum chum,,,130.05,1.52,1.92,,0.02,28.27,Indian Dishes,27.84,16.65,62.58,0.13,2.69,10.2
Dil bahar,,,130.05,1.52,1.92,,0.02,28.27,Indian Dishes,27.84,16.65,62.58,0.13,2.69,10.2
